First Name;Family Name;Country;Room Type;Days Rented;Season;Month;MonthNumber;Price;AdjustedDays
Carlos;Hassan;Pakistan;LOFT Suite;10;mid;September;9;34080;11
Santiago;Yamamoto;United Kingdom;Suite;4;mid;September;9;12280;4
Muhammad;Nguyen;United States;Grand Lit;3;low;November;11;4143;2
Carlos;Sato;Pakistan;Spa Executive;1;low;January;1;2088;1
Sara;Nguyen;France;Superior Double;6;low;March;3;10626;5
David;Brown;Mexico;Grand Lit;9;mid;April;4;13923;10
Chen;Rossi;Italy;Suite;7;mid;September;9;21378;8
Sophia;Nguyen;Italy;LOFT Suite;10;high;July;7;36450;13
Muhammad;Müller;Vietnam;Superior Double;9;high;July;7;17739;12
John;Brown;China;Standard Single;4;mid;May;5;4600;4
Ingrid;Garcia;Canada;LOFT Suite;5;high;June;6;19675;7
Maria;Müller;Brazil;Spa Executive;3;mid;October;10;7398;3
Elena;Johansson;South Korea;LOFT Suite;2;mid;September;9;6684;2
Lucas;Martinez;Sweden;Superior Double;9;low;February;2;13752;7
Sara;Garcia;Russia;Spa Executive;1;mid;September;9;2208;1
David;Patel;India;Grand Lit;1;high;June;6;1752;1
Ingrid;Sato;Germany;Junior Suite;2;mid;April;4;4304;2
Aisha;Dubois;Mexico;Standard Double;7;high;June;6;11795;9
Lucas;Ivanov;United Kingdom;Spa Executive;7;high;July;7;18977;9
Ahmed;Patel;Vietnam;Superior Double;10;high;June;6;18950;13
Lucas;Schneider;France;Superior Double;6;high;June;6;11022;8
Aisha;Patel;Spain;LOFT Suite;3;mid;October;10;10668;3
Ingrid;Ivanov;Canada;Suite;5;low;February;2;14450;4
Isabella;Hassan;India;Suite;5;high;July;7;16170;7
Ahmed;Lee;Vietnam;LOFT Suite;3;mid;April;4;10359;3
Isabella;Johansson;Russia;LOFT Suite;3;mid;May;5;10506;3
Elena;Sato;Sweden;Standard Double;3;low;December;12;4455;2
David;Khan;India;Standard Single;5;mid;September;9;6030;6
Zhang;Olsen;Germany;Spa Executive;5;mid;May;5;11365;6
Hiroshi;Schneider;South Korea;Spa Executive;5;high;July;7;12805;7
Aisha;Müller;India;Superior Double;7;high;July;7;14378;9
Aisha;Johansson;Nigeria;LOFT Suite;1;low;January;1;3245;1
Hiroshi;Silva;France;Spa Executive;8;mid;September;9;20448;9
Zhang;Silva;Mexico;Standard Double;4;high;June;6;7892;5
Olivia;Ivanov;Vietnam;Junior Suite;4;high;August;8;9708;5
John;Dubois;Mexico;LOFT Suite;10;mid;April;4;34480;11
Liam;Martinez;Vietnam;Standard Double;10;low;January;1;13450;8
Olivia;Brown;Egypt;Standard Single;1;high;June;6;1498;1
Muhammad;Martinez;Nigeria;Suite;6;high;July;7;19554;8
Lucas;Khan;Germany;Grand Lit;5;mid;April;4;7760;6
Olivia;Khan;India;Junior Suite;10;mid;April;4;23600;11
Ahmed;Johansson;Australia;Spa Executive;1;low;February;2;2102;1
Aisha;Martinez;China;Superior Double;8;high;July;7;15440;10
Fatima;Olsen;Spain;Junior Suite;9;high;June;6;20943;12
Zhang;Garcia;Russia;Superior Double;7;high;August;8;12740;9
Liam;Garcia;Brazil;Suite;10;high;July;7;34110;13
Olivia;Ivanov;Mexico;Junior Suite;5;high;July;7;11220;7
Elena;Sato;United Kingdom;Junior Suite;9;mid;May;5;19548;10
Hiroshi;Olsen;Brazil;Junior Suite;8;low;March;3;17016;6
Santiago;Sato;Brazil;Superior Double;5;high;June;6;10945;7
David;Smith;United States;Grand Lit;6;low;January;1;7284;5
Zhang;Garcia;Australia;Superior Double;8;mid;September;9;13608;9
John;Khan;Japan;Suite;9;high;August;8;30411;12
Sara;Lee;South Korea;Standard Single;6;high;July;7;8448;8
Ahmed;Garcia;South Korea;Superior Double;4;high;August;8;7308;5
Hiroshi;Johansson;Vietnam;Spa Executive;6;mid;May;5;15096;7
Lucas;Olsen;United Kingdom;Standard Single;7;high;June;6;9898;9
Liam;Hassan;Spain;Spa Executive;3;low;February;2;6546;2
Sara;Müller;China;Standard Single;1;high;July;7;1218;1
Liam;Garcia;Russia;Grand Lit;7;mid;October;10;9359;8
Elena;Khan;Italy;Standard Double;8;mid;May;5;10504;9
Liam;Rossi;India;Standard Double;10;low;February;2;14050;8
Carlos;Ivanov;Germany;Junior Suite;1;mid;October;10;2210;1
Chen;Rossi;Russia;Standard Single;3;mid;October;10;3252;3
Olivia;Garcia;Germany;Spa Executive;3;mid;May;5;7482;3
Zhang;Dubois;Pakistan;Junior Suite;6;high;June;6;14508;8
Isabella;Lee;South Korea;Superior Double;6;high;June;6;11892;8
Ahmed;Sato;Canada;Spa Executive;9;high;July;7;24867;12
Chen;Nguyen;Pakistan;Junior Suite;6;low;January;1;10986;5
David;Brown;Pakistan;Spa Executive;1;low;March;3;2109;1
Zhang;Nguyen;United Kingdom;Standard Double;6;low;February;2;8814;5
Sara;Nguyen;France;Suite;3;high;June;6;9456;4
Olivia;Khan;Australia;Suite;1;high;June;6;3324;1
Zhang;Sato;France;LOFT Suite;3;mid;May;5;10404;3
Elena;Garcia;Mexico;Grand Lit;6;high;July;7;9216;8
Olivia;Brown;India;Suite;2;high;August;8;6922;3
David;Dubois;Spain;Suite;4;high;July;7;12696;5
John;Kim;Brazil;Standard Double;1;low;November;11;1479;1
Hiroshi;Kim;Canada;Suite;3;high;August;8;9210;4
Zhang;Schneider;Nigeria;Grand Lit;4;low;December;12;5244;3
Carlos;Brown;France;Suite;4;low;December;12;11428;3
Liam;Rossi;United Kingdom;Junior Suite;1;high;June;6;2220;1
Zhang;Martinez;Sweden;Superior Double;2;low;February;2;3484;2
Sara;Nguyen;Sweden;Grand Lit;10;high;July;7;14520;13
Zhang;Kim;Russia;Spa Executive;7;low;December;12;16128;6
Aisha;Martinez;South Korea;Spa Executive;4;low;January;1;8768;3
Liam;Khan;United States;Suite;5;high;July;7;16015;7
Santiago;Rossi;Sweden;Junior Suite;10;mid;October;10;21350;11
Carlos;Silva;Sweden;Grand Lit;7;high;August;8;10535;9
Chen;Brown;China;Spa Executive;9;high;June;6;23553;12
Hiroshi;Martinez;Spain;Grand Lit;1;mid;October;10;1210;1
Maria;Garcia;Italy;Grand Lit;7;mid;May;5;9408;8
Sophia;Brown;United Kingdom;Junior Suite;3;high;August;8;6816;4
Olivia;Martinez;Japan;Spa Executive;8;mid;April;4;19192;9
Ingrid;Smith;Canada;Grand Lit;6;mid;April;4;9576;7
Olivia;Ivanov;Australia;Spa Executive;6;high;June;6;15582;8
Sara;Müller;Spain;Superior Double;4;low;February;2;6912;3
Santiago;Rossi;Russia;Standard Single;1;high;July;7;1311;1
Sara;Patel;Spain;Suite;4;mid;September;9;13176;4
Chen;Garcia;Japan;Spa Executive;1;low;February;2;2095;1
Hiroshi;Sato;China;Junior Suite;3;low;December;12;5733;2
Sara;Rossi;China;Spa Executive;10;high;August;8;25490;13
Aisha;Lee;Egypt;Spa Executive;10;mid;April;4;22210;11
Ahmed;Martinez;Russia;Standard Double;7;low;January;1;10549;6
Sara;Lee;Brazil;Superior Double;9;mid;October;10;16632;10
John;Hassan;United Kingdom;Grand Lit;3;high;June;6;4938;4
Sophia;Rossi;Japan;LOFT Suite;7;low;March;3;22155;6
Sophia;Sato;Italy;Junior Suite;1;mid;April;4;2002;1
Olivia;Yamamoto;Germany;Standard Double;9;low;December;12;13158;7
Zhang;Müller;Mexico;Spa Executive;1;high;August;8;2588;1
John;Smith;Spain;LOFT Suite;2;low;December;12;6102;2
Olivia;Müller;Pakistan;Superior Double;9;high;August;8;16929;12
Maria;Hassan;United Kingdom;Suite;6;mid;April;4;18684;7
Hiroshi;Ivanov;Italy;Standard Single;3;high;June;6;4365;4
Liam;Smith;Australia;Spa Executive;1;mid;September;9;2467;1
Ahmed;Dubois;Pakistan;Suite;7;mid;May;5;22449;8
Ahmed;Patel;Pakistan;Standard Single;5;high;June;6;6730;7
Muhammad;Ivanov;Canada;Junior Suite;1;mid;October;10;2150;1
Liam;Ivanov;Brazil;Standard Single;1;mid;October;10;1181;1
Santiago;Müller;Pakistan;Junior Suite;1;mid;April;4;2262;1
Ahmed;Smith;Brazil;Superior Double;9;mid;October;10;14769;10
Aisha;Johansson;Japan;Grand Lit;1;low;November;11;1265;1
Sophia;Dubois;Japan;LOFT Suite;10;low;November;11;34740;8
Muhammad;Müller;China;Suite;7;mid;September;9;22561;8
Aisha;Martinez;Germany;Suite;10;low;November;11;27230;8
Olivia;Hassan;United States;Junior Suite;4;low;February;2;7952;3
Aisha;Silva;South Korea;Superior Double;5;high;August;8;10005;7
Ingrid;Kim;Brazil;Standard Double;10;high;August;8;17330;13
Santiago;Olsen;Canada;Spa Executive;7;high;June;6;18753;9
Olivia;Brown;China;Suite;1;high;June;6;3195;1
Zhang;Garcia;South Korea;LOFT Suite;9;mid;September;9;30096;10
Olivia;Martinez;Egypt;Junior Suite;10;mid;April;4;20270;11
Chen;Yamamoto;Mexico;LOFT Suite;2;mid;April;4;7008;2
Zhang;Brown;Russia;Superior Double;1;high;June;6;1912;1
Muhammad;Hassan;South Korea;Standard Double;4;low;February;2;5040;3
Muhammad;Schneider;Australia;Junior Suite;3;low;November;11;6228;2
Sara;Johansson;Germany;Grand Lit;10;mid;September;9;15030;11
Aisha;Yamamoto;Australia;Spa Executive;6;mid;April;4;14706;7
Zhang;Martinez;South Korea;Spa Executive;5;high;June;6;12985;7
Sara;Ivanov;Australia;Spa Executive;8;low;November;11;16392;6
Fatima;Rossi;Japan;Grand Lit;4;high;August;8;6320;5
Sophia;Schneider;France;LOFT Suite;4;high;July;7;14084;5
Olivia;Hassan;Russia;Spa Executive;1;low;January;1;2391;1
Zhang;Rossi;Nigeria;Standard Double;6;high;June;6;11532;8
Lucas;Silva;Japan;Spa Executive;3;mid;May;5;6819;3
Sara;Hassan;South Korea;Spa Executive;1;mid;September;9;2218;1
Santiago;Khan;Pakistan;LOFT Suite;2;mid;September;9;7340;2
Ahmed;Yamamoto;Vietnam;Spa Executive;3;mid;April;4;6924;3
Ingrid;Martinez;Brazil;Superior Double;5;high;August;8;10285;7
Fatima;Kim;South Korea;Superior Double;9;low;November;11;15444;7
Muhammad;Martinez;Nigeria;Standard Single;4;high;July;7;5792;5
John;Sato;France;LOFT Suite;4;high;August;8;15144;5
Carlos;Ivanov;China;Junior Suite;9;low;December;12;17163;7
Ahmed;Martinez;India;Standard Double;1;high;July;7;1795;1
Olivia;Müller;United Kingdom;Suite;3;high;August;8;9984;4
Santiago;Hassan;Nigeria;Standard Double;1;low;March;3;1308;1
David;Sato;Australia;Standard Double;8;mid;September;9;10920;9
John;Hassan;Australia;Superior Double;6;low;December;12;8814;5
Sophia;Schneider;Egypt;Grand Lit;6;low;December;12;7974;5
Maria;Olsen;India;Suite;6;high;August;8;20808;8
Maria;Dubois;Sweden;Standard Single;2;high;July;7;2588;3
Liam;Patel;South Korea;LOFT Suite;6;low;November;11;20748;5
Olivia;Müller;South Korea;Suite;9;mid;May;5;27873;10
Ahmed;Garcia;Russia;Suite;7;high;June;6;24220;9
Carlos;Silva;Sweden;Standard Single;3;mid;May;5;3651;3
Ahmed;Kim;Vietnam;Superior Double;3;mid;October;10;5757;3
Liam;Khan;Italy;Standard Double;4;low;November;11;4808;3
Liam;Rossi;Canada;Suite;4;low;December;12;10740;3
;;;;5379;;Unknown;#N/A;;5379
